TestSmell1,TestSmell2,Count
Assertion Roulette,Conditional Test Logic,114
Assertion Roulette,Constructor Initialization,59
Assertion Roulette,Duplicate Assert,100
Assertion Roulette,Eager Test,187
Assertion Roulette,EmptyTest,1
Assertion Roulette,Exception Catching Throwing,110
Assertion Roulette,General Fixture,46
Assertion Roulette,IgnoredTest,31
Assertion Roulette,Lazy Test,163
Assertion Roulette,Magic Number Test,151
Assertion Roulette,Mystery Guest,35
Assertion Roulette,Print Statement,3
Assertion Roulette,Redundant Assertion,6
Assertion Roulette,Resource Optimism,35
Assertion Roulette,Sensitive Equality,9
Assertion Roulette,Sleepy Test,17
Assertion Roulette,Unknown Test,49
Assertion Roulette,Verbose Test,134
Conditional Test Logic,Constructor Initialization,27
Conditional Test Logic,Duplicate Assert,71
Conditional Test Logic,Eager Test,95
Conditional Test Logic,EmptyTest,0
Conditional Test Logic,Exception Catching Throwing,80
Conditional Test Logic,General Fixture,36
Conditional Test Logic,IgnoredTest,20
Conditional Test Logic,Lazy Test,90
Conditional Test Logic,Magic Number Test,101
Conditional Test Logic,Mystery Guest,26
Conditional Test Logic,Print Statement,1
Conditional Test Logic,Redundant Assertion,2
Conditional Test Logic,Resource Optimism,26
Conditional Test Logic,Sensitive Equality,4
Conditional Test Logic,Sleepy Test,19
Conditional Test Logic,Unknown Test,34
Conditional Test Logic,Verbose Test,106
Constructor Initialization,Duplicate Assert,17
Constructor Initialization,Eager Test,56
Constructor Initialization,EmptyTest,0
Constructor Initialization,Exception Catching Throwing,22
Constructor Initialization,General Fixture,3
Constructor Initialization,IgnoredTest,9
Constructor Initialization,Lazy Test,34
Constructor Initialization,Magic Number Test,33
Constructor Initialization,Mystery Guest,10
Constructor Initialization,Print Statement,0
Constructor Initialization,Redundant Assertion,0
Constructor Initialization,Resource Optimism,10
Constructor Initialization,Sensitive Equality,2
Constructor Initialization,Sleepy Test,9
Constructor Initialization,Unknown Test,22
Constructor Initialization,Verbose Test,25
Duplicate Assert,Eager Test,83
Duplicate Assert,EmptyTest,0
