TestSmell1,TestSmell2,Count
Assertion Roulette,Conditional Test Logic,36
Assertion Roulette,Constructor Initialization,3
Assertion Roulette,Duplicate Assert,96
Assertion Roulette,Eager Test,150
Assertion Roulette,EmptyTest,0
Assertion Roulette,Exception Catching Throwing,56
Assertion Roulette,General Fixture,19
Assertion Roulette,IgnoredTest,4
Assertion Roulette,Lazy Test,153
Assertion Roulette,Magic Number Test,96
Assertion Roulette,Mystery Guest,8
Assertion Roulette,Print Statement,2
Assertion Roulette,Redundant Assertion,7
Assertion Roulette,Resource Optimism,8
Assertion Roulette,Sensitive Equality,51
Assertion Roulette,Sleepy Test,0
Assertion Roulette,Unknown Test,48
Assertion Roulette,Verbose Test,82
Conditional Test Logic,Constructor Initialization,0
Conditional Test Logic,Duplicate Assert,20
Conditional Test Logic,Eager Test,30
Conditional Test Logic,EmptyTest,0
Conditional Test Logic,Exception Catching Throwing,12
Conditional Test Logic,General Fixture,4
Conditional Test Logic,IgnoredTest,1
Conditional Test Logic,Lazy Test,28
Conditional Test Logic,Magic Number Test,17
Conditional Test Logic,Mystery Guest,2
Conditional Test Logic,Print Statement,1
Conditional Test Logic,Redundant Assertion,0
Conditional Test Logic,Resource Optimism,2
Conditional Test Logic,Sensitive Equality,8
Conditional Test Logic,Sleepy Test,0
Conditional Test Logic,Unknown Test,15
Conditional Test Logic,Verbose Test,24
Constructor Initialization,Duplicate Assert,3
Constructor Initialization,Eager Test,2
Constructor Initialization,EmptyTest,0
Constructor Initialization,Exception Catching Throwing,1
Constructor Initialization,General Fixture,0
Constructor Initialization,IgnoredTest,0
Constructor Initialization,Lazy Test,2
Constructor Initialization,Magic Number Test,2
Constructor Initialization,Mystery Guest,0
Constructor Initialization,Print Statement,0
Constructor Initialization,Redundant Assertion,1
Constructor Initialization,Resource Optimism,0
Constructor Initialization,Sensitive Equality,1
Constructor Initialization,Sleepy Test,0
Constructor Initialization,Unknown Test,0
Constructor Initialization,Verbose Test,2
Duplicate Assert,Eager Test,73
Duplicate Assert,EmptyTest,0
Duplicate Assert,Exception Catching Throwing,30
Duplicate Assert,General Fixture,11
Duplicate Assert,IgnoredTest,1
Duplicate Assert,Lazy Test,68
Duplicate Assert,Magic Number Test,59
Duplicate Assert,Mystery Guest,3
Duplicate Assert,Print Statement,0
Duplicate Assert,Redundant Assertion,6
Duplicate Assert,Resource Optimism,3
