TestSmell1,TestSmell2,Count
Assertion Roulette,Conditional Test Logic,36
Assertion Roulette,Constructor Initialization,0
Assertion Roulette,Duplicate Assert,41
Assertion Roulette,Eager Test,75
Assertion Roulette,EmptyTest,0
Assertion Roulette,Exception Catching Throwing,35
Assertion Roulette,General Fixture,9
Assertion Roulette,IgnoredTest,10
Assertion Roulette,Lazy Test,81
Assertion Roulette,Magic Number Test,64
Assertion Roulette,Mystery Guest,20
Assertion Roulette,Print Statement,1
Assertion Roulette,Redundant Assertion,1
Assertion Roulette,Resource Optimism,19
Assertion Roulette,Sensitive Equality,8
Assertion Roulette,Sleepy Test,14
Assertion Roulette,Unknown Test,21
Assertion Roulette,Verbose Test,42
Conditional Test Logic,Constructor Initialization,0
Conditional Test Logic,Duplicate Assert,23
Conditional Test Logic,Eager Test,33
Conditional Test Logic,EmptyTest,0
Conditional Test Logic,Exception Catching Throwing,22
Conditional Test Logic,General Fixture,4
Conditional Test Logic,IgnoredTest,8
Conditional Test Logic,Lazy Test,34
Conditional Test Logic,Magic Number Test,30
Conditional Test Logic,Mystery Guest,9
Conditional Test Logic,Print Statement,1
Conditional Test Logic,Redundant Assertion,1
Conditional Test Logic,Resource Optimism,9
Conditional Test Logic,Sensitive Equality,5
Conditional Test Logic,Sleepy Test,12
Conditional Test Logic,Unknown Test,13
Conditional Test Logic,Verbose Test,27
Constructor Initialization,Duplicate Assert,0
Constructor Initialization,Eager Test,0
Constructor Initialization,EmptyTest,0
Constructor Initialization,Exception Catching Throwing,0
Constructor Initialization,General Fixture,0
Constructor Initialization,IgnoredTest,0
Constructor Initialization,Lazy Test,0
Constructor Initialization,Magic Number Test,0
Constructor Initialization,Mystery Guest,0
Constructor Initialization,Print Statement,0
Constructor Initialization,Redundant Assertion,0
Constructor Initialization,Resource Optimism,0
Constructor Initialization,Sensitive Equality,0
Constructor Initialization,Sleepy Test,0
Constructor Initialization,Unknown Test,0
Constructor Initialization,Verbose Test,0
Duplicate Assert,Eager Test,35
Duplicate Assert,EmptyTest,0
Duplicate Assert,Exception Catching Throwing,21
Duplicate Assert,General Fixture,2
Duplicate Assert,IgnoredTest,5
Duplicate Assert,Lazy Test,38
Duplicate Assert,Magic Number Test,33
Duplicate Assert,Mystery Guest,11
Duplicate Assert,Print Statement,1
Duplicate Assert,Redundant Assertion,1
Duplicate Assert,Resource Optimism,10
Duplicate Assert,Sensitive Equality,3
Duplicate Assert,Sleepy Test,6
Duplicate Assert,Unknown Test,8
Duplicate Assert,Verbose Test,26
Eager Test,EmptyTest,0
Eager Test,Exception Catching Throwing,31
Eager Test,General Fixture,5
Eager Test,IgnoredTest,8
Eager Test,Lazy Test,69
Eager Test,Magic Number Test,49
Eager Test,Mystery Guest,16
Eager Test,Print Statement,1
Eager Test,Redundant Assertion,1
Eager Test,Resource Optimism,15
Eager Test,Sensitive Equality,8
Eager Test,Sleepy Test,14
Eager Test,Unknown Test,17
Eager Test,Verbose Test,35
EmptyTest,Exception Catching Throwing,0
EmptyTest,General Fixture,0
EmptyTest,IgnoredTest,0
EmptyTest,Lazy Test,0
EmptyTest,Magic Number Test,0
EmptyTest,Mystery Guest,0
EmptyTest,Print Statement,0
EmptyTest,Redundant Assertion,0
EmptyTest,Resource Optimism,0
EmptyTest,Sensitive Equality,0
EmptyTest,Sleepy Test,0
EmptyTest,Unknown Test,0
EmptyTest,Verbose Test,0
Exception Catching Throwing,General Fixture,1
Exception Catching Throwing,IgnoredTest,7
Exception Catching Throwing,Lazy Test,32
Exception Catching Throwing,Magic Number Test,25
Exception Catching Throwing,Mystery Guest,11
Exception Catching Throwing,Print Statement,1
Exception Catching Throwing,Redundant Assertion,0
Exception Catching Throwing,Resource Optimism,10
Exception Catching Throwing,Sensitive Equality,5
Exception Catching Throwing,Sleepy Test,8
Exception Catching Throwing,Unknown Test,12
Exception Catching Throwing,Verbose Test,24
General Fixture,IgnoredTest,1
General Fixture,Lazy Test,6
General Fixture,Magic Number Test,5
General Fixture,Mystery Guest,3
General Fixture,Print Statement,0
General Fixture,Redundant Assertion,0
General Fixture,Resource Optimism,3
General Fixture,Sensitive Equality,1
General Fixture,Sleepy Test,1
General Fixture,Unknown Test,6
General Fixture,Verbose Test,4
IgnoredTest,Lazy Test,9
IgnoredTest,Magic Number Test,7
IgnoredTest,Mystery Guest,4
IgnoredTest,Print Statement,1
IgnoredTest,Redundant Assertion,0
IgnoredTest,Resource Optimism,4
IgnoredTest,Sensitive Equality,2
IgnoredTest,Sleepy Test,3
IgnoredTest,Unknown Test,10
IgnoredTest,Verbose Test,8
Lazy Test,Magic Number Test,52
Lazy Test,Mystery Guest,18
Lazy Test,Print Statement,1
Lazy Test,Redundant Assertion,1
Lazy Test,Resource Optimism,17
Lazy Test,Sensitive Equality,7
Lazy Test,Sleepy Test,13
Lazy Test,Unknown Test,18
Lazy Test,Verbose Test,33
Magic Number Test,Mystery Guest,11
Magic Number Test,Print Statement,1
Magic Number Test,Redundant Assertion,1
Magic Number Test,Resource Optimism,10
Magic Number Test,Sensitive Equality,6
Magic Number Test,Sleepy Test,8
Magic Number Test,Unknown Test,11
Magic Number Test,Verbose Test,33
Mystery Guest,Print Statement,0
Mystery Guest,Redundant Assertion,0
Mystery Guest,Resource Optimism,19
Mystery Guest,Sensitive Equality,4
Mystery Guest,Sleepy Test,2
Mystery Guest,Unknown Test,7
Mystery Guest,Verbose Test,11
Print Statement,Redundant Assertion,0
Print Statement,Resource Optimism,0
Print Statement,Sensitive Equality,0
Print Statement,Sleepy Test,0
Print Statement,Unknown Test,1
Print Statement,Verbose Test,1
Redundant Assertion,Resource Optimism,0
Redundant Assertion,Sensitive Equality,1
Redundant Assertion,Sleepy Test,0
Redundant Assertion,Unknown Test,0
Redundant Assertion,Verbose Test,1
Resource Optimism,Sensitive Equality,4
Resource Optimism,Sleepy Test,2
Resource Optimism,Unknown Test,7
Resource Optimism,Verbose Test,11
Sensitive Equality,Sleepy Test,3
Sensitive Equality,Unknown Test,3
Sensitive Equality,Verbose Test,6
Sleepy Test,Unknown Test,5
Sleepy Test,Verbose Test,9
Unknown Test,Verbose Test,17
