TestSmell1,TestSmell2,Count
Assertion Roulette,Conditional Test Logic,0
Assertion Roulette,Constructor Initialization,0
Assertion Roulette,Duplicate Assert,20
Assertion Roulette,Eager Test,20
Assertion Roulette,EmptyTest,0
Assertion Roulette,Exception Catching Throwing,1
Assertion Roulette,General Fixture,0
Assertion Roulette,IgnoredTest,9
Assertion Roulette,Lazy Test,0
Assertion Roulette,Magic Number Test,10
Assertion Roulette,Mystery Guest,9
Assertion Roulette,Print Statement,0
Assertion Roulette,Redundant Assertion,0
Assertion Roulette,Resource Optimism,9
Assertion Roulette,Sensitive Equality,0
Assertion Roulette,Sleepy Test,0
Assertion Roulette,Unknown Test,0
Assertion Roulette,Verbose Test,8
Conditional Test Logic,Constructor Initialization,0
Conditional Test Logic,Duplicate Assert,0
Conditional Test Logic,Eager Test,0
Conditional Test Logic,EmptyTest,0
Conditional Test Logic,Exception Catching Throwing,0
Conditional Test Logic,General Fixture,0
Conditional Test Logic,IgnoredTest,0
Conditional Test Logic,Lazy Test,0
Conditional Test Logic,Magic Number Test,0
Conditional Test Logic,Mystery Guest,0
Conditional Test Logic,Print Statement,0
Conditional Test Logic,Redundant Assertion,0
Conditional Test Logic,Resource Optimism,0
Conditional Test Logic,Sensitive Equality,0
Conditional Test Logic,Sleepy Test,0
Conditional Test Logic,Unknown Test,0
Conditional Test Logic,Verbose Test,0
Constructor Initialization,Duplicate Assert,0
Constructor Initialization,Eager Test,0
Constructor Initialization,EmptyTest,0
Constructor Initialization,Exception Catching Throwing,0
Constructor Initialization,General Fixture,0
Constructor Initialization,IgnoredTest,0
Constructor Initialization,Lazy Test,0
Constructor Initialization,Magic Number Test,0
Constructor Initialization,Mystery Guest,0
Constructor Initialization,Print Statement,0
Constructor Initialization,Redundant Assertion,0
Constructor Initialization,Resource Optimism,0
Constructor Initialization,Sensitive Equality,0
Constructor Initialization,Sleepy Test,0
Constructor Initialization,Unknown Test,0
Constructor Initialization,Verbose Test,0
Duplicate Assert,Eager Test,9
Duplicate Assert,EmptyTest,0
Duplicate Assert,Exception Catching Throwing,0
Duplicate Assert,General Fixture,0
Duplicate Assert,IgnoredTest,8
Duplicate Assert,Lazy Test,0
Duplicate Assert,Magic Number Test,3
Duplicate Assert,Mystery Guest,7
Duplicate Assert,Print Statement,0
Duplicate Assert,Redundant Assertion,0
Duplicate Assert,Resource Optimism,7
Duplicate Assert,Sensitive Equality,0
Duplicate Assert,Sleepy Test,0
Duplicate Assert,Unknown Test,0
Duplicate Assert,Verbose Test,5
Eager Test,EmptyTest,0
Eager Test,Exception Catching Throwing,1
Eager Test,General Fixture,0
Eager Test,IgnoredTest,0
Eager Test,Lazy Test,0
Eager Test,Magic Number Test,7
Eager Test,Mystery Guest,1
Eager Test,Print Statement,0
Eager Test,Redundant Assertion,0
Eager Test,Resource Optimism,1
Eager Test,Sensitive Equality,0
Eager Test,Sleepy Test,0
Eager Test,Unknown Test,0
Eager Test,Verbose Test,2
EmptyTest,Exception Catching Throwing,0
EmptyTest,General Fixture,0
EmptyTest,IgnoredTest,0
EmptyTest,Lazy Test,0
EmptyTest,Magic Number Test,0
EmptyTest,Mystery Guest,0
EmptyTest,Print Statement,0
EmptyTest,Redundant Assertion,0
EmptyTest,Resource Optimism,0
EmptyTest,Sensitive Equality,0
EmptyTest,Sleepy Test,0
EmptyTest,Unknown Test,0
EmptyTest,Verbose Test,0
Exception Catching Throwing,General Fixture,0
Exception Catching Throwing,IgnoredTest,0
Exception Catching Throwing,Lazy Test,0
Exception Catching Throwing,Magic Number Test,0
Exception Catching Throwing,Mystery Guest,1
Exception Catching Throwing,Print Statement,0
Exception Catching Throwing,Redundant Assertion,0
Exception Catching Throwing,Resource Optimism,1
Exception Catching Throwing,Sensitive Equality,0
Exception Catching Throwing,Sleepy Test,0
Exception Catching Throwing,Unknown Test,0
Exception Catching Throwing,Verbose Test,0
General Fixture,IgnoredTest,0
