TestSmell1,TestSmell2,Count
Assertion Roulette,Conditional Test Logic,263
Assertion Roulette,Constructor Initialization,0
Assertion Roulette,Duplicate Assert,285
Assertion Roulette,Eager Test,858
Assertion Roulette,EmptyTest,0
Assertion Roulette,Exception Catching Throwing,214
Assertion Roulette,General Fixture,0
Assertion Roulette,IgnoredTest,22
Assertion Roulette,Lazy Test,0
Assertion Roulette,Magic Number Test,766
Assertion Roulette,Mystery Guest,24
Assertion Roulette,Print Statement,35
Assertion Roulette,Redundant Assertion,16
Assertion Roulette,Resource Optimism,21
Assertion Roulette,Sensitive Equality,196
Assertion Roulette,Sleepy Test,21
Assertion Roulette,Unknown Test,6
Assertion Roulette,Verbose Test,461
Conditional Test Logic,Constructor Initialization,0
Conditional Test Logic,Duplicate Assert,62
Conditional Test Logic,Eager Test,183
Conditional Test Logic,EmptyTest,0
Conditional Test Logic,Exception Catching Throwing,65
Conditional Test Logic,General Fixture,0
Conditional Test Logic,IgnoredTest,17
Conditional Test Logic,Lazy Test,0
Conditional Test Logic,Magic Number Test,163
Conditional Test Logic,Mystery Guest,5
Conditional Test Logic,Print Statement,18
Conditional Test Logic,Redundant Assertion,6
Conditional Test Logic,Resource Optimism,5
Conditional Test Logic,Sensitive Equality,34
Conditional Test Logic,Sleepy Test,9
Conditional Test Logic,Unknown Test,103
Conditional Test Logic,Verbose Test,177
Constructor Initialization,Duplicate Assert,0
Constructor Initialization,Eager Test,0
Constructor Initialization,EmptyTest,0
Constructor Initialization,Exception Catching Throwing,0
Constructor Initialization,General Fixture,0
Constructor Initialization,IgnoredTest,0
Constructor Initialization,Lazy Test,0
Constructor Initialization,Magic Number Test,0
Constructor Initialization,Mystery Guest,0
Constructor Initialization,Print Statement,0
Constructor Initialization,Redundant Assertion,0
Constructor Initialization,Resource Optimism,0
Constructor Initialization,Sensitive Equality,0
Constructor Initialization,Sleepy Test,0
Constructor Initialization,Unknown Test,0
Constructor Initialization,Verbose Test,0
Duplicate Assert,Eager Test,169
Duplicate Assert,EmptyTest,0
Duplicate Assert,Exception Catching Throwing,62
Duplicate Assert,General Fixture,0
Duplicate Assert,IgnoredTest,3
Duplicate Assert,Lazy Test,0
