TestSmell1,TestSmell2,Count
Assertion Roulette,Conditional Test Logic,27
Assertion Roulette,Constructor Initialization,0
Assertion Roulette,Duplicate Assert,207
Assertion Roulette,Eager Test,799
Assertion Roulette,EmptyTest,0
Assertion Roulette,Exception Catching Throwing,394
Assertion Roulette,General Fixture,0
Assertion Roulette,IgnoredTest,3
Assertion Roulette,Lazy Test,0
Assertion Roulette,Magic Number Test,500
Assertion Roulette,Mystery Guest,0
Assertion Roulette,Print Statement,4
Assertion Roulette,Redundant Assertion,75
Assertion Roulette,Resource Optimism,0
Assertion Roulette,Sensitive Equality,160
Assertion Roulette,Sleepy Test,0
Assertion Roulette,Unknown Test,0
Assertion Roulette,Verbose Test,89
Conditional Test Logic,Constructor Initialization,0
Conditional Test Logic,Duplicate Assert,2
Conditional Test Logic,Eager Test,18
Conditional Test Logic,EmptyTest,0
Conditional Test Logic,Exception Catching Throwing,16
Conditional Test Logic,General Fixture,0
Conditional Test Logic,IgnoredTest,2
Conditional Test Logic,Lazy Test,0
Conditional Test Logic,Magic Number Test,9
Conditional Test Logic,Mystery Guest,0
Conditional Test Logic,Print Statement,4
Conditional Test Logic,Redundant Assertion,0
Conditional Test Logic,Resource Optimism,0
Conditional Test Logic,Sensitive Equality,1
Conditional Test Logic,Sleepy Test,0
Conditional Test Logic,Unknown Test,1
Conditional Test Logic,Verbose Test,6
Constructor Initialization,Duplicate Assert,0
Constructor Initialization,Eager Test,0
Constructor Initialization,EmptyTest,0
Constructor Initialization,Exception Catching Throwing,0
Constructor Initialization,General Fixture,0
Constructor Initialization,IgnoredTest,0
Constructor Initialization,Lazy Test,0
Constructor Initialization,Magic Number Test,0
Constructor Initialization,Mystery Guest,0
Constructor Initialization,Print Statement,0
Constructor Initialization,Redundant Assertion,0
Constructor Initialization,Resource Optimism,0
Constructor Initialization,Sensitive Equality,0
Constructor Initialization,Sleepy Test,0
Constructor Initialization,Unknown Test,0
Constructor Initialization,Verbose Test,0
Duplicate Assert,Eager Test,101
Duplicate Assert,EmptyTest,0
Duplicate Assert,Exception Catching Throwing,88
Duplicate Assert,General Fixture,0
Duplicate Assert,IgnoredTest,0
Duplicate Assert,Lazy Test,0
Duplicate Assert,Magic Number Test,83
Duplicate Assert,Mystery Guest,0
Duplicate Assert,Print Statement,0
Duplicate Assert,Redundant Assertion,3
Duplicate Assert,Resource Optimism,0
Duplicate Assert,Sensitive Equality,26
Duplicate Assert,Sleepy Test,0
