,ts1,ts2,value
277,Resource Optimism,Mystery Guest,"0,99"
152,Ignored Test,Assertion Roulette,"0,94"
57,Duplicate Assert,Assertion Roulette,"0,93"
190,Magic Number Test,Assertion Roulette,"0,93"
304,Sleepy Test,Assertion Roulette,"0,92"
256,Redundant Assertion,Lazy Test,"0,92"
247,Redundant Assertion,Assertion Roulette,"0,92"
223,Mystery Guest,Resource Optimism,"0,91"
342,Verbose Test,Assertion Roulette,"0,90"
266,Resource Optimism,Assertion Roulette,"0,90"
209,Mystery Guest,Assertion Roulette,"0,90"
285,Sensitive Equality,Assertion Roulette,"0,87"
228,Print Statement/ Redundant Print,Assertion Roulette,"0,86"
114,Exception Handling,Assertion Roulette,"0,83"
76,Eager Test,Assertion Roulette,"0,83"
171,Lazy Test,Assertion Roulette,"0,83"
38,Constructor Initialization,Assertion Roulette,"0,82"
95,Empty Test,Assertion Roulette,"0,78"
308,Sleepy Test,Eager Test,"0,77"
251,Redundant Assertion,Eager Test,"0,76"
142,General Fixture,Lazy Test,"0,76"
322,Sleepy Test,Verbose Test,"0,75"
85,Eager Test,Lazy Test,"0,75"
294,Sensitive Equality,Lazy Test,"0,75"
314,Sleepy Test,Magic Number Test,"0,75"
169,Ignored Test,Unknown Test,"0,74"
275,Resource Optimism,Lazy Test,"0,74"
19,Conditional Test Logic,Assertion Roulette,"0,74"
123,Exception Handling,Lazy Test,"0,74"
237,Print Statement/ Redundant Print,Lazy Test,"0,73"
175,Lazy Test,Eager Test,"0,72"
313,Sleepy Test,Lazy Test,"0,72"
218,Mystery Guest,Lazy Test,"0,71"
305,Sleepy Test,Conditional Test Logic,"0,71"
66,Duplicate Assert,Lazy Test,"0,71"
246,Print Statement/ Redundant Print,Verbose Test,"0,71"
161,Ignored Test,Lazy Test,"0,70"
28,Conditional Test Logic,Lazy Test,"0,70"
61,Duplicate Assert,Eager Test,"0,69"
199,Magic Number Test,Lazy Test,"0,69"
229,Print Statement/ Redundant Print,Conditional Test Logic,"0,69"
133,General Fixture,Assertion Roulette,"0,68"
257,Redundant Assertion,Magic Number Test,"0,68"
232,Print Statement/ Redundant Print,Eager Test,"0,68"
67,Duplicate Assert,Magic Number Test,"0,67"
105,Empty Test,Magic Number Test,"0,67"
156,Ignored Test,Eager Test,"0,67"
289,Sensitive Equality,Eager Test,"0,67"
23,Conditional Test Logic,Eager Test,"0,67"
75,Duplicate Assert,Verbose Test,"0,66"
351,Verbose Test,Lazy Test,"0,65"
118,Exception Handling,Eager Test,"0,65"
310,Sleepy Test,Exception Handling,"0,64"
323,Unknown Test,Assertion Roulette,"0,64"
253,Redundant Assertion,Exception Handling,"0,64"
346,Verbose Test,Eager Test,"0,64"
270,Resource Optimism,Eager Test,"0,64"
194,Magic Number Test,Eager Test,"0,63"
213,Mystery Guest,Eager Test,"0,63"
153,Ignored Test,Conditional Test Logic,"0,63"
9,Assertion Roulette,Lazy Test,"0,62"
265,Redundant Assertion,Verbose Test,"0,62"
352,Verbose Test,Magic Number Test,"0,61"
238,Print Statement/ Redundant Print,Magic Number Test,"0,61"
170,Ignored Test,Verbose Test,"0,60"
307,Sleepy Test,Duplicate Assert,"0,60"
284,Resource Optimism,Verbose Test,"0,60"
137,General Fixture,Eager Test,"0,60"
276,Resource Optimism,Magic Number Test,"0,59"
162,Ignored Test,Magic Number Test,"0,59"
332,Unknown Test,Lazy Test,"0,59"
4,Assertion Roulette,Eager Test,"0,59"
132,Exception Handling,Verbose Test,"0,58"
219,Mystery Guest,Magic Number Test,"0,58"
227,Mystery Guest,Verbose Test,"0,58"
124,Exception Handling,Magic Number Test,"0,58"
42,Constructor Initialization,Eager Test,"0,57"
250,Redundant Assertion,Duplicate Assert,"0,56"
47,Constructor Initialization,Lazy Test,"0,56"
104,Empty Test,Lazy Test,"0,56"
345,Verbose Test,Duplicate Assert,"0,56"
37,Conditional Test Logic,Verbose Test,"0,54"
29,Conditional Test Logic,Magic Number Test,"0,54"
267,Resource Optimism,Conditional Test Logic,"0,53"
158,Ignored Test,Exception Handling,"0,52"
210,Mystery Guest,Conditional Test Logic,"0,52"
48,Constructor Initialization,Magic Number Test,"0,52"
295,Sensitive Equality,Magic Number Test,"0,51"
327,Unknown Test,Eager Test,"0,51"
143,General Fixture,Magic Number Test,"0,50"
234,Print Statement/ Redundant Print,Exception Handling,"0,49"
272,Resource Optimism,Exception Handling,"0,49"
215,Mystery Guest,Exception Handling,"0,49"
343,Verbose Test,Conditional Test Logic,"0,49"
181,Lazy Test,Magic Number Test,"0,48"
10,Assertion Roulette,Magic Number Test,"0,48"
208,Magic Number Test,Verbose Test,"0,48"
115,Exception Handling,Conditional Test Logic,"0,48"
117,Exception Handling,Duplicate Assert,"0,47"
155,Ignored Test,Duplicate Assert,"0,46"
86,Eager Test,Magic Number Test,"0,46"
231,Print Statement/ Redundant Print,Duplicate Assert,"0,44"
193,Magic Number Test,Duplicate Assert,"0,44"
113,Empty Test,Verbose Test,"0,44"
98,Empty Test,Duplicate Assert,"0,44"
348,Verbose Test,Exception Handling,"0,44"
63,Duplicate Assert,Exception Handling,"0,43"
58,Duplicate Assert,Conditional Test Logic,"0,43"
288,Sensitive Equality,Duplicate Assert,"0,43"
303,Sensitive Equality,Verbose Test,"0,43"
341,Unknown Test,Verbose Test,"0,43"
269,Resource Optimism,Duplicate Assert,"0,42"
25,Conditional Test Logic,Exception Handling,"0,41"
212,Mystery Guest,Duplicate Assert,"0,41"
134,General Fixture,Conditional Test Logic,"0,40"
248,Redundant Assertion,Conditional Test Logic,"0,40"
324,Unknown Test,Conditional Test Logic,"0,39"
22,Conditional Test Logic,Duplicate Assert,"0,39"
191,Magic Number Test,Conditional Test Logic,"0,39"
262,Redundant Assertion,Sensitive Equality,"0,39"
291,Sensitive Equality,Exception Handling,"0,38"
44,Constructor Initialization,Exception Handling,"0,38"
