,ts1,ts2,value
277,Resource Optimism,Mystery Guest,"0,98"
190,Magic Number Test,Assertion Roulette,"0,89"
57,Duplicate Assert,Assertion Roulette,"0,84"
223,Mystery Guest,Resource Optimism,"0,83"
247,Redundant Assertion,Assertion Roulette,"0,81"
285,Sensitive Equality,Assertion Roulette,"0,81"
342,Verbose Test,Assertion Roulette,"0,79"
76,Eager Test,Assertion Roulette,"0,75"
228,Print Statement/ Redundant Print,Assertion Roulette,"0,72"
308,Sleepy Test,Eager Test,"0,72"
304,Sleepy Test,Assertion Roulette,"0,71"
209,Mystery Guest,Assertion Roulette,"0,68"
266,Resource Optimism,Assertion Roulette,"0,65"
114,Exception Handling,Assertion Roulette,"0,65"
152,Ignored Test,Assertion Roulette,"0,64"
19,Conditional Test Logic,Assertion Roulette,"0,58"
251,Redundant Assertion,Eager Test,"0,57"
61,Duplicate Assert,Eager Test,"0,56"
232,Print Statement/ Redundant Print,Eager Test,"0,56"
346,Verbose Test,Eager Test,"0,54"
322,Sleepy Test,Verbose Test,"0,53"
310,Sleepy Test,Exception Handling,"0,53"
305,Sleepy Test,Conditional Test Logic,"0,53"
246,Print Statement/ Redundant Print,Verbose Test,"0,53"
23,Conditional Test Logic,Eager Test,"0,52"
289,Sensitive Equality,Eager Test,"0,52"
194,Magic Number Test,Eager Test,"0,52"
229,Print Statement/ Redundant Print,Conditional Test Logic,"0,51"
4,Assertion Roulette,Eager Test,"0,49"
352,Verbose Test,Magic Number Test,"0,48"
314,Sleepy Test,Magic Number Test,"0,47"
67,Duplicate Assert,Magic Number Test,"0,46"
118,Exception Handling,Eager Test,"0,46"
270,Resource Optimism,Eager Test,"0,46"
213,Mystery Guest,Eager Test,"0,45"
156,Ignored Test,Eager Test,"0,45"
75,Duplicate Assert,Verbose Test,"0,44"
153,Ignored Test,Conditional Test Logic,"0,39"
343,Verbose Test,Conditional Test Logic,"0,37"
37,Conditional Test Logic,Verbose Test,"0,36"
238,Print Statement/ Redundant Print,Magic Number Test,"0,36"
345,Verbose Test,Duplicate Assert,"0,36"
169,Ignored Test,Unknown Test,"0,36"
29,Conditional Test Logic,Magic Number Test,"0,33"
132,Exception Handling,Verbose Test,"0,32"
272,Resource Optimism,Exception Handling,"0,32"
10,Assertion Roulette,Magic Number Test,"0,31"
348,Verbose Test,Exception Handling,"0,31"
253,Redundant Assertion,Exception Handling,"0,31"
215,Mystery Guest,Exception Handling,"0,30"
124,Exception Handling,Magic Number Test,"0,29"
284,Resource Optimism,Verbose Test,"0,29"
219,Mystery Guest,Magic Number Test,"0,28"
227,Mystery Guest,Verbose Test,"0,28"
86,Eager Test,Magic Number Test,"0,28"
276,Resource Optimism,Magic Number Test,"0,27"
208,Magic Number Test,Verbose Test,"0,27"
170,Ignored Test,Verbose Test,"0,27"
267,Resource Optimism,Conditional Test Logic,"0,27"
234,Print Statement/ Redundant Print,Exception Handling,"0,27"
210,Mystery Guest,Conditional Test Logic,"0,26"
162,Ignored Test,Magic Number Test,"0,25"
115,Exception Handling,Conditional Test Logic,"0,24"
63,Duplicate Assert,Exception Handling,"0,24"
307,Sleepy Test,Duplicate Assert,"0,24"
25,Conditional Test Logic,Exception Handling,"0,23"
257,Redundant Assertion,Magic Number Test,"0,22"
193,Magic Number Test,Duplicate Assert,"0,21"
117,Exception Handling,Duplicate Assert,"0,20"
327,Unknown Test,Eager Test,"0,19"
191,Magic Number Test,Conditional Test Logic,"0,19"
295,Sensitive Equality,Magic Number Test,"0,19"
265,Redundant Assertion,Verbose Test,"0,18"
158,Ignored Test,Exception Handling,"0,18"
58,Duplicate Assert,Conditional Test Logic,"0,18"
291,Sensitive Equality,Exception Handling,"0,17"
94,Eager Test,Verbose Test,"0,17"
18,Assertion Roulette,Verbose Test,"0,16"
77,Eager Test,Conditional Test Logic,"0,16"
196,Magic Number Test,Exception Handling,"0,16"
155,Ignored Test,Duplicate Assert,"0,16"
250,Redundant Assertion,Duplicate Assert,"0,16"
236,Print Statement/ Redundant Print,Ignored Test,"0,16"
269,Resource Optimism,Duplicate Assert,"0,15"
22,Conditional Test Logic,Duplicate Assert,"0,15"
212,Mystery Guest,Duplicate Assert,"0,15"
3,Assertion Roulette,Duplicate Assert,"0,14"
303,Sensitive Equality,Verbose Test,"0,14"
79,Eager Test,Duplicate Assert,"0,14"
82,Eager Test,Exception Handling,"0,14"
245,Print Statement/ Redundant Print,Unknown Test,"0,13"
